gid	gname	chr	start	end
TRINITY_DN122440_c0_g1_i3	ID=Xetrov90000023mgName=mogs]MOGS_MOUSEMOGS_MOUSEQ	Chr01	654078	655823
TRINITY_DN121729_c6_g1_i4	ID=Xetrov90000095mgName=Xetrov90000095mg]	Chr01	2753777	2754497
TRINITY_DN126277_c0_g2_i1	ID=Xetrov90000111mgName=lrrtm1]LRRT1_BOVINLRRT1_BOVINQ	Chr01	3694236	3695801
TRINITY_DN117910_c0_g3_i1	ID=Xetrov90000118mgName=LOC101733139]SUCA_MOUSESUCA_MOUSEQ	Chr01	4854434	4867935
TRINITY_DN115477_c1_g4_i2	ID=Xetrov90000153mgName=Xetrov90000153mg]KV404_HUMANKV404_HUMANQ	Chr01	5145410	5149260
TRINITY_DN115477_c1_g3_i2	ID=Xetrov90000205mgName=Xetrov90000205mg]KV404_HUMANKV404_HUMANQ	Chr01	5466855	5467339
TRINITY_DN135580_c0_g1_i5	ID=Xetrov90000220mgName=pank2-like]PANK2_HUMANPANK2_HUMANQ	Chr01	6077607	6087062
TRINITY_DN142500_c4_g1_i1	ID=Xetrov90000228mgName=ptpra]PTPRA_HUMANPTPRA_HUMANQ	Chr01	6230782	6265199
TRINITY_DN104369_c0_g1_i1	ID=Xetrov90000231mgName=oxt]NEUM_BUFJANEUM_BUFJAQ	Chr01	6308159	6312850
TRINITY_DN97832_c0_g1_i1	ID=Xetrov90000232mgName=avp]NEUV_PELESNEUV_PELESQ	Chr01	6322131	6328526
TRINITY_DN119137_c6_g1_i5	ID=Xetrov90000233mgName=ubox5]RNF37_HUMANRNF37_HUMANQ	Chr01	6358205	6376017
TRINITY_DN124794_c0_g1_i1	ID=Xetrov90000234mgName=fastkd5]FAKD5_MOUSEFAKD5_MOUSEQ	Chr01	6365286	6367772
TRINITY_DN126239_c2_g2_i7	ID=Xetrov90000236mgName=lzts3]LZTS3_HUMANLZTS3_HUMANQ	Chr01	6389111	6392968
TRINITY_DN120778_c3_g3_i1	ID=Xetrov90000237mgName=LOC779549]ExpAA=8842PredHel=4Topology=i26-48o83-105i118-140o160-182i	Chr01	6456659	6460135
TRINITY_DN140543_c1_g1_i4	ID=Xetrov90000242mgName=atrn-like]ATRN_MOUSEATRN_MOUSEQ	Chr01	7483258	7562950
TRINITY_DN125852_c2_g1_i1	ID=Xetrov90000243mgName=LOC100486685]CT194_HUMANCT194_HUMANQ	Chr01	7605581	7666394
TRINITY_DN117241_c9_g1_i1	ID=Xetrov90000252mgName=paip2b]PAI2B_MOUSEPAI2B_MOUSEQ	Chr01	8039015	8051740
TRINITY_DN119113_c0_g1_i1	ID=Xetrov90000254mgName=tex261]TX261_RATTX261_RATQ	Chr01	8159604	8167709
TRINITY_DN127523_c0_g1_i2	ID=Xetrov90000255mgName=LOC101732970]ANR53_HUMANANR53_HUMANQ	Chr01	8176111	8179579
TRINITY_DN118209_c1_g2_i5	ID=Xetrov90000256mgName=LOC100486585]SHOT1_HUMANSHOT1_HUMANQ	Chr01	8181594	8190044
TRINITY_DN136431_c2_g1_i3	ID=Xetrov90000259mgName=LOC100485993]NAGK_MOUSENAGK_MOUSEQ	Chr01	8342983	8347989
