chr	logFC.XY43.XX43	sexb
Chr07	11.6425974	Female
Chr02	11.57110595	Female
Chr01	11.26932775	Female
Chr03	11.21415539	Female
Chr07	11.0371032	Female
Chr02	10.9761567	Female
Chr04	10.89028627	Female
Chr02	10.30799493	Female
Chr03	10.28541283	Female
Chr09	10.24834779	Female
Chr01	9.981836812	Female
Chr06	9.779954657	Female
Chr02	9.581634225	Female
Chr08	9.527975063	Female
Chr10	9.499553048	Female
Chr01	9.215020038	Female
Chr04	9.108381846	Female
Chr06	8.858569918	Female
Chr08	8.805630137	Female
Chr08	8.804185341	Female
Chr10	8.72719512	Female
Chr02	8.699717102	Female
Chr09	8.623002545	Female
Chr01	8.582553606	Female
Chr04	8.511096368	Female
Chr03	8.398166807	Female
Chr09	8.384468423	Female
Chr08	8.308484461	Female
Chr09	8.295958286	Female
Chr03	8.155715876	Female
Chr01	7.897014076	Female
Chr08	7.681244816	Female
Chr02	7.658071778	Female
Chr02	7.653889004	Female
Chr02	7.428144414	Female
Chr02	7.330057224	Female
Chr06	7.16772146	Female
Chr10	7.161670133	Female
Chr05	7.11210262	Female
Chr02	7.105660911	Female
Chr01	7.089587534	Female
Chr02	7.086263986	Female
Chr08	7.02930989	Female
Chr03	6.857545053	Female
Chr05	6.795451438	Female
Chr06	6.788005253	Female
Chr07	6.75568155	Female
Chr06	6.670979107	Female
Chr08	6.631715926	Female
Chr06	6.404616224	Female
Chr07	6.377852231	Female
Chr01	6.292622592	Female
Chr09	6.272950766	Female
Chr05	6.188451067	Female
Chr08	6.12573671	Female
Chr03	6.023965194	Female
Chr04	6.013827358	Female
Chr10	5.995641539	Female
Chr05	5.874227591	Female
Chr04	5.869784423	Female
Chr05	5.806601038	Female
Chr03	5.733195665	Female
Chr03	5.672472572	Female
Chr01	5.664547566	Female
Chr01	5.637023247	Female
Chr05	5.582973738	Female
Chr09	5.570126531	Female
Chr01	5.407404537	Female
Chr06	5.380607839	Female
Chr07	5.335420431	Female
Chr03	5.330178574	Female
Chr01	5.28002646	Female
Chr06	5.274481049	Female
Chr01	5.265369418	Female
Chr02	5.242138082	Female
Chr02	5.236383662	Female
Chr03	5.231950044	Female
Chr03	5.178178353	Female
Chr01	5.066316037	Female
Chr01	5.037388908	Female
Chr06	4.940492383	Female
Chr02	4.870756926	Female
Chr03	4.858131017	Female
