stage	sb	ID	Fa	trans	dnds	dn	ds
G43	F-bias	43_F-bias	RBH_pair_9391.fa	TRINITY_DN118988_c1_g1_i9	0.0527	0.0349	0.6637
G43	F-bias	43_F-bias	RBH_pair_5947.fa	TRINITY_DN141319_c5_g1_i7	0.1643	0.1716	1.0442
G43	F-bias	43_F-bias	RBH_pair_5946.fa	TRINITY_DN114782_c4_g1_i4	0.1212	0.1455	1.2005
G43	F-bias	43_F-bias	RBH_pair_10297.fa	TRINITY_DN128200_c2_g3_i2	0.3307	0.4036	1.2206
G43	F-bias	43_F-bias	RBH_pair_4210.fa	TRINITY_DN130552_c0_g1_i7	0.0639	0.0802	1.2553
G43	F-bias	43_F-bias	RBH_pair_435.fa	TRINITY_DN123677_c6_g1_i2	0.0662	0.0869	1.3131
G43	F-bias	43_F-bias	RBH_pair_78.fa	TRINITY_DN136564_c0_g1_i3	0.1018	0.1353	1.3294
G43	F-bias	43_F-bias	RBH_pair_10378.fa	TRINITY_DN115003_c0_g1_i1	0.0624	0.0844	1.3516
G43	F-bias	43_F-bias	RBH_pair_5066.fa	TRINITY_DN116332_c0_g3_i2	0.0384	0.0532	1.3855
G43	F-bias	43_F-bias	RBH_pair_303.fa	TRINITY_DN124336_c5_g1_i3	0.201	0.2867	1.4259
G43	F-bias	43_F-bias	RBH_pair_5388.fa	TRINITY_DN126963_c5_g1_i2	0.0434	0.0655	1.5066
G43	F-bias	43_F-bias	RBH_pair_3327.fa	TRINITY_DN119122_c3_g1_i5	0.0989	0.1511	1.5272
G43	F-bias	43_F-bias	RBH_pair_8959.fa	TRINITY_DN115783_c8_g5_i1	0.0612	0.0939	1.5342
G43	F-bias	43_F-bias	RBH_pair_8830.fa	TRINITY_DN125527_c0_g1_i1	0.021	0.0324	1.547
G43	F-bias	43_F-bias	RBH_pair_6043.fa	TRINITY_DN117669_c7_g1_i1	0.0209	0.0325	1.5566
G43	F-bias	43_F-bias	RBH_pair_2940.fa	TRINITY_DN112414_c0_g1_i1	0.086	0.135	1.5697
G43	F-bias	43_F-bias	RBH_pair_10384.fa	TRINITY_DN121975_c3_g2_i2	0.1265	0.1991	1.5745
G43	F-bias	43_F-bias	RBH_pair_5149.fa	TRINITY_DN122357_c5_g2_i7	0.2049	0.3236	1.5797
G43	F-bias	43_F-bias	RBH_pair_1470.fa	TRINITY_DN121671_c1_g4_i2	0.0362	0.058	1.6004
G43	F-bias	43_F-bias	RBH_pair_4794.fa	TRINITY_DN115459_c0_g1_i1	0.1018	0.1631	1.6028
