Gid	gname	chr	start	end	dN_dS	dN	dS
TRINITY_DN102778_c0_g1_i1	ID=Xetrov90001699mgName=c19orf60-like]CS060_BOVINCS060_BOVINQ	Chr01	87500770	87515442	0.0566	0.0938	1.6566
TRINITY_DN107356_c0_g1_i1	ID=Xetrov90002404mgName=psme2]PSME2_PIGPSME2_PIGQ	Chr01	127210129	127220139	0.0845	0.1431	1.6937
TRINITY_DN109029_c0_g1_i1	ID=Xetrov90000649mgName=zar1]ZAR1_XENLAZAR1_XENLAQ	Chr01	29767993	29770865	0.0685	0.0943	1.3781
TRINITY_DN109307_c0_g1_i1	ID=Xetrov90001554mgName=LOC100495756-like]	Chr01	83427263	83435480	0.1336	0.2637	1.974
TRINITY_DN110003_c0_g1_i1	ID=Xetrov90002321mgName=isca1]ISCA1_MACFAISCA1_MACFAQ	Chr01	122707595	122725075	0.0477	0.064	1.3418
TRINITY_DN110252_c0_g1_i1	ID=Xetrov90001991mgName=mrpl34]RM34_MOUSERM34_MOUSEQ	Chr01	101215625	101218415	0.172	0.2806	1.6311
TRINITY_DN110253_c0_g1_i1	ID=Xetrov90002200mgName=mlana-like]MAR1_HUMANMAR1_HUMANQ	Chr01	114661493	114664944	0.1632	0.2514	1.5405
TRINITY_DN110263_c0_g1_i1	ID=Xetrov90001868mgName=inip]SOSSC_XENLASOSSC_XENLAQ	Chr01	96210940	96219678	0.0961	0.1103	1.1484
TRINITY_DN110862_c0_g1_i1	ID=Xetrov90003582mgName=LOC100496550-like]GRAA_BOVINGRAA_BOVINQ	Chr01	178966251	178975142	0.1374	0.2679	1.9493
TRINITY_DN111106_c0_g1_i1	ID=Xetrov90003138mgName=rhof]RHOF_BOVINRHOF_BOVINQ	Chr01	153580211	153601443	0.0433	0.0822	1.8971
TRINITY_DN111718_c0_g1_i1	ID=Xetrov90003353mgName=crhbp]CRHBP_XENLACRHBP_XENLAQ	Chr01	164908720	164924543	0.0816	0.1111	1.3613
