gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	logFC.XY43.XYa43	logFC.XYa43.F43	logFC.M43.F43	PV.XY43.XX43	PV.XY43.XYa43	PV.XYa43.F43	PV.M43.F43	FDR.XY43.XX43	FDR.XY43.XYa43	FDR.XYa43.F43	FDR.M43.F43	Tv1_431	Tv1_432	Tv2_431	Tv3_431	Tv5_431	Tv5_432	Tv5_433	Tv5_434	Tv6_431	Tv6_432	Tv6_433
TRINITY_DN102778_c0_g1_i1	ID=Xetrov90001699mgName=c19orf60-like]CS060_BOVINCS060_BOVINQ	Chr01	87500770	87500770	4.301104096	-0.314302903	-0.172920835	-0.141382068	-0.243611869	0.344436738	0.588819087	0.576668809	0.419886051	0.999969	1	0.999972759	0.999992197	4.093941502	4.136211126	4.337912417	4.073117048	4.384299531	4.392982345	4.432932677	4.202355523	4.334675821	4.489458094	4.36303546
TRINITY_DN103578_c0_g1_i1	ID=Xetrov90002432mgName=mrpl52-like]RM52_XENLARM52_XENLAQ	Chr01	127865240	127865240	3.733674613	-0.331834878	0.008271714	-0.340106591	-0.161781582	0.373998961	0.981468064	0.230925402	0.63120527	0.999969	1	0.999972759	0.999992197	3.578433924	3.621791374	3.623621468	3.594502103	3.450125733	3.750294571	4.164375925	3.646842918	3.37400653	3.979144384	4.062339949
TRINITY_DN104369_c0_g1_i1	ID=Xetrov90000231mgName=oxt]NEUM_BUFJANEUM_BUFJAQ	Chr01	6308159	6308159	1.186235253	0.868519638	0.31317979	0.555339847	0.590849714	0.101094084	0.541348998	0.191025903	0.208945153	0.712747749	1	0.999972759	0.950801454	1.128523207	1.884792642	0.875536399	1.249286146	1.234050324	0.692782616	0.617889958	1.236693612	2.078425715	0.355176606	0.632143143
TRINITY_DN105775_c0_g1_i1	ID=Xetrov90002998mgName=LOC100485616]CV039_XENLACV039_XENLAQ	Chr01	145759872	145759872	2.581896538	-0.926458985	-0.705020955	-0.22143803	-0.81573997	0.050529021	0.122600162	0.524825398	0.061812439	0.514408902	1	0.999972759	0.61033163	2.408543141	1.991147987	3.034239878	1.807058461	2.352454783	2.404866482	3.362199022	2.387273155	2.628877821	2.401627713	2.895214689
TRINITY_DN107356_c0_g1_i1	ID=Xetrov90002404mgName=psme2]PSME2_PIGPSME2_PIGQ	Chr01	127210129	127210129	5.409675557	-1.314444433	-0.792977276	-0.521467157	-1.053710855	0.015277698	0.122729137	0.18388271	0.034440213	0.255060412	1	0.999972759	0.447534148	4.740088214	4.457036959	4.10680098	4.552441587	6.074672561	6.00438921	6.136209386	5.98820801	4.636679367	5.133792284	5.719829545
TRINITY_DN107676_c0_g1_i4	ID=Xetrov90001317mgName=LOC100494570]CPLX4_HUMANCPLX4_HUMANQ	Chr01	74365686	74365686	0.870448032	0.637131377	0.238641721	0.398489656	0.437886549	0.260766963	0.663081115	0.374932545	0.386495684	0.960377664	1	0.999972759	0.999992197	0.547310576	1.666765629	1.742287765	0.472175349	0.591760535	0.920712396	0.768886122	0.277227237	0.781861073	0.523289201	0.335208333
TRINITY_DN109029_c0_g1_i1	ID=Xetrov90000649mgName=zar1]ZAR1_XENLAZAR1_XENLAQ	Chr01	29767993	29767993	3.642092052	-7.089587534	-7.039772981	-0.049814553	-7.064680257	2.90E-05	2.87E-05	0.954571044	2.29E-05	0.007007439	0.011588828	0.999972759	0.007826138	3.056734906	-3.129889089	4.566869153	-2.106839074	3.514768874	-0.565369207	3.544224115	-2.765988505	5.393804708	4.506281764	4.019015809
TRINITY_DN109307_c0_g1_i1	ID=Xetrov90001554mgName=LOC100495756-like]	Chr01	83427263	83427263	5.156397151	-7.897014076	-7.925788243	0.028774167	-7.91140116	3.42E-05	3.02E-05	0.976009626	2.64E-05	0.00737789	0.011931872	0.999972759	0.008516515	4.519302594	-3.129889089	6.683473409	-1.457354887	5.245789436	0.856033007	5.306562402	-3.41472929	6.522292248	5.780722671	5.310654169
TRINITY_DN110003_c0_g1_i1	ID=Xetrov90002321mgName=isca1]ISCA1_MACFAISCA1_MACFAQ	Chr01	122707595	122707595	4.645008744	0.249946578	0.276754174	-0.026807596	0.263350376	0.463411861	0.398604886	0.919833146	0.387938316	0.999969	1	0.999972759	0.999992197	4.584469224	4.8428398	4.599469732	4.871512148	4.71177665	4.448876902	4.321279865	4.393559744	4.837609815	4.849940138	4.495376746
TRINITY_DN110205_c0_g1_i2	ID=Xetrov90003581mgName=LOC100497188]GRAA_HUMANGRAA_HUMANQ	Chr01	178957082	178957082	0.00095798	-2.576989436	-3.096855859	0.519866424	-2.836922647	0.062174239	0.026744289	0.57041233	0.034722256	0.568452824	0.572404585	0.999972759	0.449854813	-1.784769291	-3.129889089	-2.253653427	-1.745852752	0.706903194	1.117496589	0.536019781	1.923767997	-3.073636592	-1.383375253	-1.87259569
TRINITY_DN110252_c0_g1_i1	ID=Xetrov90001991mgName=mrpl34]RM34_MOUSERM34_MOUSEQ	Chr01	101215625	101215625	3.559251718	-0.108851299	-0.153717634	0.044866335	-0.131284467	0.766846997	0.665480311	0.873816183	0.693786261	0.999969	1	0.999972759	0.999992197	3.591841714	3.530676836	3.896435495	3.364228176	3.45836631	3.421995908	3.638776915	3.55832999	3.494559077	3.575748696	3.551263859
TRINITY_DN110253_c0_g1_i1	ID=Xetrov90002200mgName=mlana-like]MAR1_HUMANMAR1_HUMANQ	Chr01	114661493	114661493	3.558381071	-1.534846607	-1.653543272	0.118696665	-1.59419494	0.01046483	0.005148921	0.782167623	0.004929651	0.200903821	0.267958405	0.999972759	0.134440478	3.35289958	2.090198274	4.262771956	2.21857205	3.080033552	2.513703728	3.638776915	2.720138524	4.791285061	4.003048476	3.835572329
TRINITY_DN110263_c0_g1_i1	ID=Xetrov90001868mgName=inip]SOSSC_XENLASOSSC_XENLAQ	Chr01	96210940	96210940	2.88806436	-0.238902613	0.005602886	-0.244505499	-0.116649864	0.557599226	0.988548426	0.431698355	0.751378988	0.999969	1	0.999972759	0.999992197	2.935771289	2.970269573	2.72151446	2.610317654	3.042157572	2.72765771	3.293269828	2.931227388	2.634886528	2.844189396	2.918978894
TRINITY_DN110499_c0_g1_i1	ID=Xetrov90001237mgName=LOC101734759]IGJ_MOUSEIGJ_MOUSEQ	Chr01	69507581	69507581	3.144341382	-2.915677584	-1.202308002	-1.713369582	-2.058992793	0.000488068	0.106477187	0.002032879	0.00658686	0.02498251	1	0.213531699	0.164203333	1.969074532	1.921122592	0.051644429	-0.334285796	4.058118651	2.940179898	2.855037984	3.282539307	1.764414798	4.723276295	4.069435818
TRINITY_DN110862_c0_g1_i1	ID=Xetrov90003582mgName=LOC100496550-like]GRAA_BOVINGRAA_BOVINQ	Chr01	178966251	178966251	0.78124054	-0.975075009	0.230378479	-1.205453488	-0.372348265	0.074658565	0.654666264	0.002865035	0.450506675	0.615315326	1	0.262043472	0.999992197	0.491176378	0.738269155	0.090791597	0.080230401	1.811665812	0.231131887	1.163594309	-0.001597464	0.266679001	1.489187227	0.878271524
TRINITY_DN111106_c0_g1_i1	ID=Xetrov90003138mgName=rhof]RHOF_BOVINRHOF_BOVINQ	Chr01	153580211	153580211	3.219532831	-0.532293426	-0.258434156	-0.27385927	-0.395363791	0.201574258	0.517486453	0.382649958	0.29735535	0.908368699	1	0.999972759	0.999992197	2.815206443	2.917296712	3.404204303	2.879789946	3.132473292	2.965949695	3.107360375	3.004844647	3.461130997	3.613505501	3.749833202
TRINITY_DN111718_c0_g1_i1	ID=Xetrov90003353mgName=crhbp]CRHBP_XENLACRHBP_XENLAQ	Chr01	164908720	164908720	1.295586247	0.31214565	0.387745767	-0.075600116	0.349945709	0.668013868	0.57886007	0.894230422	0.590001233	0.999969	1	0.999972759	0.999992197	1.052980215	2.227083797	1.937457883	0.36535184	2.446588991	0.361112707	0.591112818	-0.04056803	1.708533186	0.164858426	0.593285926
TRINITY_DN111719_c0_g1_i1	ID=Xetrov90000406mgName=LOC100489853]TMD11_CANLFTMD11_CANLFQ	Chr01	14502547	14502547	1.35120847	0.38767479	1.102426687	-0.714751897	0.745050739	0.564735594	0.082425888	0.177140593	0.205067099	0.999969	0.937841516	0.999972759	0.948140267	1.541682109	2.152644785	1.213713415	1.633787184	1.36254577	-0.507485094	2.616972876	0.735024016	0.495245045	-0.313147451	1.002103364
TRINITY_DN111814_c0_g1_i1	ID=Xetrov90001998mgName=yjefn3]YJEN3_HUMANYJEN3_HUMANQ	Chr01	101461977	101461977	1.697882523	-0.232406235	0.127645819	-0.360052054	-0.052380208	0.604760509	0.766136657	0.29276988	0.897059335	0.999969	1	0.999972759	0.999992197	1.456297467	1.866278733	1.742287765	1.436828316	2.20353865	1.675053849	1.82305802	1.169984758	1.577398363	1.59363545	1.86804713
TRINITY_DN112120_c0_g1_i2	ID=Xetrov90000473mgName=hs3st1]HS3S1_HUMANHS3S1_HUMANQ	Chr01	17966463	17966463	3.179205001	-0.038132393	-0.123358364	0.08522597	-0.080745379	0.925792929	0.75594292	0.787479552	0.827933962	0.999969	1	0.999972759	0.999992197	3.246713558	3.187170471	3.606840111	3.027235448	3.522649348	2.887216864	3.019714282	3.336764529	2.96088499	3.173984614	2.761404699
TRINITY_DN112164_c0_g1_i1	ID=Xetrov90003325mgName=cdk7]CDK7_XENLACDK7_XENLAQ	Chr01	163626702	163626702	2.908345243	-0.53847872	-0.461443813	-0.077034908	-0.499961267	0.214809324	0.27168854	0.813605137	0.208871549	0.922915859	1	0.999972759	0.950801454	3.027431488	2.365344296	3.239783165	2.610317654	2.861325889	2.427300708	3.059326846	2.648443704	3.238513718	3.263787095	2.895214689
