ID_fa	ID_trans	dNdS	dN	dS
RBH_pair_3872.fa	TRINITY_D130037_c2_g1_i1	2.1568	0.4942	0.2291
RBH_pair_3861.fa	TRINITY_D143918_c2_g1_i2	0.1289	0.0296	0.2295
RBH_pair_7642.fa	TRINITY_D127467_c3_g4_i1	1.3344	0.3739	0.2802
RBH_pair_1602.fa	TRINITY_D117132_c1_g1_i8	0.0592	0.0166	0.2808
RBH_pair_3702.fa	TRINITY_D103408_c0_g1_i1	1.5479	0.5071	0.3276
RBH_pair_10218.fa	TRINITY_D128080_c9_g3_i2	0.001	0.0003	0.3499
RBH_pair_3396.fa	TRINITY_D126555_c1_g1_i26	0.0074	0.0026	0.3545
RBH_pair_10604.fa	TRINITY_D121222_c6_g1_i5	0.0454	0.0189	0.4158
RBH_pair_5813.fa	TRINITY_D123401_c8_g1_i5	0.0879	0.0369	0.4201
RBH_pair_5189.fa	TRINITY_D133811_c2_g2_i1	0.001	0.0004	0.4288
RBH_pair_4766.fa	TRINITY_D129164_c3_g1_i1	0.0399	0.0173	0.4338
RBH_pair_4377.fa	TRINITY_D116413_c6_g1_i13	0.0224	0.0099	0.4417
RBH_pair_1528.fa	TRINITY_D121805_c1_g3_i2	0.7956	0.3576	0.4494
RBH_pair_6306.fa	TRINITY_D119656_c1_g2_i6	0.232	0.1045	0.4505
RBH_pair_6303.fa	TRINITY_D130668_c2_g3_i5	0.0348	0.0159	0.457
RBH_pair_6378.fa	TRINITY_D120651_c3_g1_i19	0.0471	0.0218	0.4617
RBH_pair_8230.fa	TRINITY_D132965_c2_g2_i2	0.0473	0.0219	0.4619
RBH_pair_4311.fa	TRINITY_D130849_c2_g1_i1	0.029	0.0135	0.4642
RBH_pair_10602.fa	TRINITY_D129688_c1_g1_i4	0.0358	0.0172	0.4798
RBH_pair_2365.fa	TRINITY_D137641_c0_g1_i3	0.0965	0.0468	0.4846
RBH_pair_4454.fa	TRINITY_D119059_c2_g1_i2	0.0962	0.0467	0.4857
RBH_pair_10579.fa	TRINITY_D136646_c5_g1_i4	0.1717	0.0834	0.4857
RBH_pair_5402.fa	TRINITY_D124357_c0_g1_i2	0.2106	0.1029	0.4884
RBH_pair_1767.fa	TRINITY_D125854_c0_g2_i1	0.1115	0.0546	0.4891
RBH_pair_3609.fa	TRINITY_D124383_c2_g1_i5	0.0262	0.0128	0.4896
RBH_pair_8474.fa	TRINITY_D112668_c0_g1_i4	1.465	0.7195	0.4911
RBH_pair_2823.fa	TRINITY_D139066_c5_g2_i2	0.0375	0.019	0.5068
RBH_pair_4975.fa	TRINITY_D143398_c1_g1_i2	0.014	0.0071	0.5088
RBH_pair_5280.fa	TRINITY_D114456_c4_g1_i4	0.001	0.0005	0.533
RBH_pair_4246.fa	TRINITY_D122690_c2_g3_i1	0.0476	0.0256	0.5375
RBH_pair_10252.fa	TRINITY_D108603_c0_g1_i1	0.0211	0.0113	0.5382
RBH_pair_5447.fa	TRINITY_D142114_c2_g1_i1	0.1028	0.0559	0.5438
RBH_pair_5109.fa	TRINITY_D127350_c3_g2_i1	0.0255	0.0141	0.5512
RBH_pair_8078.fa	TRINITY_D141377_c0_g1_i2	0.0117	0.0065	0.5544
RBH_pair_5114.fa	TRINITY_D131813_c8_g2_i1	0.001	0.0006	0.5589
RBH_pair_2641.fa	TRINITY_D143296_c4_g1_i1	0.073	0.0409	0.5595
RBH_pair_2936.fa	TRINITY_D136707_c0_g1_i6	0.1016	0.0571	0.5615
RBH_pair_4313.fa	TRINITY_D132100_c5_g1_i1	0.1042	0.059	0.5663
RBH_pair_9947.fa	TRINITY_D122183_c3_g3_i6	0.1334	0.0762	0.571
RBH_pair_4263.fa	TRINITY_D125110_c6_g1_i3	0.0072	0.0041	0.5713
RBH_pair_7804.fa	TRINITY_D125375_c3_g2_i3	0.0369	0.0212	0.5753
RBH_pair_3779.fa	TRINITY_D127656_c7_g1_i5	0.1045	0.0602	0.576
RBH_pair_5450.fa	TRINITY_D138654_c10_g1_i1	0.0941	0.0543	0.5767
RBH_pair_7451.fa	TRINITY_D139632_c0_g1_i3	0.0358	0.0207	0.5796
RBH_pair_8496.fa	TRINITY_D128295_c3_g1_i4	0.0184	0.0108	0.5848
RBH_pair_6007.fa	TRINITY_D123939_c3_g2_i17	0.081	0.0476	0.5876
RBH_pair_903.fa	TRINITY_D132176_c5_g1_i9	0.0366	0.0216	0.5909
RBH_pair_4312.fa	TRINITY_D116869_c7_g1_i2	0.0532	0.0314	0.5913
RBH_pair_4362.fa	TRINITY_D116315_c4_g4_i1	0.0609	0.0365	0.5993
RBH_pair_3959.fa	TRINITY_D127992_c3_g1_i1	0.0194	0.0117	0.5996
RBH_pair_569.fa	TRINITY_D113753_c1_g1_i2	0.0621	0.0373	0.6
RBH_pair_6559.fa	TRINITY_D121958_c0_g1_i1	0.0178	0.0108	0.6065
RBH_pair_7140.fa	TRINITY_D129139_c2_g1_i1	0.2786	0.17	0.6102
RBH_pair_8221.fa	TRINITY_D134801_c2_g1_i5	0.0456	0.028	0.614
RBH_pair_10340.fa	TRINITY_D131708_c3_g1_i3	0.024	0.0147	0.6146
RBH_pair_3367.fa	TRINITY_D121027_c5_g1_i3	0.0151	0.0093	0.615
RBH_pair_1276.fa	TRINITY_D116236_c5_g1_i7	0.0682	0.0421	0.618
RBH_pair_5110.fa	TRINITY_D130650_c7_g3_i2	0.01	0.0062	0.6222
RBH_pair_5771.fa	TRINITY_D136056_c3_g1_i3	0.0147	0.0092	0.6249
RBH_pair_6279.fa	TRINITY_D125214_c2_g1_i9	0.0199	0.0125	0.6258
RBH_pair_5985.fa	TRINITY_D123208_c0_g4_i2	0.0358	0.0224	0.6265
RBH_pair_7089.fa	TRINITY_D119179_c8_g2_i19	0.0706	0.0444	0.6288
RBH_pair_7070.fa	TRINITY_D129155_c0_g3_i2	0.0135	0.0085	0.6307
RBH_pair_6540.fa	TRINITY_D127832_c1_g1_i2	0.0545	0.0344	0.6319
RBH_pair_3112.fa	TRINITY_D118922_c1_g1_i10	0.0048	0.0031	0.6361
RBH_pair_6991.fa	TRINITY_D128844_c7_g1_i2	0.0218	0.0139	0.6383
RBH_pair_2654.fa	TRINITY_D138306_c0_g2_i2	0.2999	0.1931	0.6438
RBH_pair_10217.fa	TRINITY_D140086_c2_g1_i1	0.001	0.0006	0.6446
RBH_pair_8501.fa	TRINITY_D117412_c8_g1_i3	0.001	0.0006	0.6447
RBH_pair_9112.fa	TRINITY_D133144_c2_g1_i1	0.0094	0.006	0.6447
RBH_pair_7737.fa	TRINITY_D127651_c1_g1_i2	0.1244	0.0806	0.648
RBH_pair_3053.fa	TRINITY_D121412_c2_g3_i3	0.0353	0.0229	0.6484
RBH_pair_2371.fa	TRINITY_D139486_c8_g1_i1	0.0714	0.0468	0.6547
RBH_pair_2797.fa	TRINITY_D119800_c0_g3_i3	0.2114	0.1385	0.6549
RBH_pair_2714.fa	TRINITY_D116092_c3_g1_i3	0.0306	0.0201	0.6566
RBH_pair_7760.fa	TRINITY_D142306_c1_g1_i3	0.0337	0.0222	0.6576
RBH_pair_6145.fa	TRINITY_D139335_c2_g5_i1	0.0405	0.0268	0.66
RBH_pair_9261.fa	TRINITY_D107672_c0_g2_i1	0.0355	0.0234	0.661
RBH_pair_6013.fa	TRINITY_D142159_c3_g7_i2	0.0541	0.0358	0.6623
RBH_pair_9391.fa	TRINITY_D118988_c1_g1_i9	0.0527	0.0349	0.6637
RBH_pair_4366.fa	TRINITY_D119882_c5_g1_i5	0.0801	0.0537	0.6701
RBH_pair_6928.fa	TRINITY_D120925_c5_g2_i2	0.0823	0.0552	0.6708
RBH_pair_10445.fa	TRINITY_D123376_c4_g1_i1	0.0886	0.0598	0.6745
RBH_pair_10223.fa	TRINITY_D116315_c1_g2_i1	0.0563	0.0382	0.6786
RBH_pair_9534.fa	TRINITY_D125202_c0_g1_i6	0.0348	0.0237	0.6814
RBH_pair_3461.fa	TRINITY_D117512_c4_g1_i2	0.0039	0.0026	0.6816
RBH_pair_3778.fa	TRINITY_D139165_c5_g4_i2	0.1272	0.0869	0.683
RBH_pair_10701.fa	TRINITY_D130420_c0_g3_i1	0.0424	0.0294	0.6924
RBH_pair_8196.fa	TRINITY_D124077_c3_g1_i16	0.0653	0.0453	0.6937
RBH_pair_4247.fa	TRINITY_D116081_c5_g1_i3	0.0092	0.0064	0.694
RBH_pair_3765.fa	TRINITY_D126955_c8_g1_i1	0.0571	0.0397	0.6942
RBH_pair_5331.fa	TRINITY_D136778_c1_g2_i3	0.0926	0.0644	0.6947
RBH_pair_7087.fa	TRINITY_D115940_c6_g1_i6	0.0661	0.046	0.6957
RBH_pair_4861.fa	TRINITY_D114829_c3_g1_i5	0.0641	0.0447	0.6968
RBH_pair_7036.fa	TRINITY_D131446_c0_g1_i15	0.0047	0.0033	0.7021
RBH_pair_3999.fa	TRINITY_D115193_c0_g2_i1	0.0288	0.0205	0.7093
RBH_pair_6741.fa	TRINITY_D113558_c0_g1_i6	0.0163	0.0116	0.7102
RBH_pair_6791.fa	TRINITY_D127167_c4_g3_i2	2.0011	1.4237	0.7114
RBH_pair_10117.fa	TRINITY_D123159_c2_g2_i2	0.2611	0.1866	0.7147
RBH_pair_6851.fa	TRINITY_D122509_c0_g1_i5	0.0843	0.0603	0.7153
RBH_pair_10580.fa	TRINITY_D119260_c4_g1_i6	0.1689	0.1212	0.718
RBH_pair_4767.fa	TRINITY_D140418_c1_g1_i4	0.0326	0.0235	0.7221
RBH_pair_8080.fa	TRINITY_D114640_c0_g1_i3	0.0457	0.0331	0.7248
RBH_pair_2740.fa	TRINITY_D134085_c4_g1_i1	0.1251	0.0909	0.7271
RBH_pair_8406.fa	TRINITY_D118286_c5_g1_i1	0.0455	0.0332	0.7289
RBH_pair_6387.fa	TRINITY_D129755_c2_g1_i2	0.1287	0.0938	0.7293
RBH_pair_5443.fa	TRINITY_D116738_c1_g1_i3	0.1107	0.0811	0.7324
RBH_pair_3763.fa	TRINITY_D131360_c2_g3_i8	0.0418	0.0307	0.733
RBH_pair_3792.fa	TRINITY_D134851_c5_g1_i3	0.001	0.0007	0.734
RBH_pair_7381.fa	TRINITY_D117121_c1_g3_i1	0.0559	0.0412	0.7369
RBH_pair_6379.fa	TRINITY_D114629_c2_g1_i7	0.0199	0.0147	0.738
RBH_pair_8498.fa	TRINITY_D133932_c3_g1_i5	0.0679	0.0502	0.7395
RBH_pair_10366.fa	TRINITY_D137383_c0_g1_i1	0.1422	0.1052	0.7401
RBH_pair_7778.fa	TRINITY_D118495_c0_g1_i8	0.1623	0.1205	0.7424
RBH_pair_8063.fa	TRINITY_D132594_c4_g1_i13	0.0482	0.0358	0.7431
RBH_pair_4648.fa	TRINITY_D115561_c4_g1_i1	0.0959	0.0718	0.7489
RBH_pair_7803.fa	TRINITY_D126224_c6_g1_i3	0.0049	0.0036	0.749
RBH_pair_8157.fa	TRINITY_D129702_c0_g1_i2	0.0032	0.0024	0.7491
RBH_pair_8158.fa	TRINITY_D117340_c5_g1_i1	0.001	0.0008	0.752
RBH_pair_8447.fa	TRINITY_D126444_c0_g2_i1	0.0366	0.0275	0.7531
RBH_pair_1453.fa	TRINITY_D137630_c6_g1_i2	0.0534	0.0402	0.7539
RBH_pair_7367.fa	TRINITY_D115174_c3_g1_i6	0.021	0.0159	0.7551
RBH_pair_8600.fa	TRINITY_D142139_c1_g1_i2	0.1042	0.0788	0.7561
RBH_pair_9167.fa	TRINITY_D134995_c6_g1_i5	0.1	0.0757	0.7567
RBH_pair_9255.fa	TRINITY_D118428_c1_g2_i1	0.161	0.122	0.7578
RBH_pair_6955.fa	TRINITY_D133999_c3_g2_i3	0.0998	0.076	0.7619
RBH_pair_9297.fa	TRINITY_D125608_c0_g1_i2	0.0086	0.0065	0.7621
RBH_pair_9598.fa	TRINITY_D123913_c1_g1_i7	0.0777	0.0592	0.7627
RBH_pair_10325.fa	TRINITY_D129070_c3_g1_i14	0.0139	0.0107	0.7684
RBH_pair_9745.fa	TRINITY_D116240_c2_g1_i7	0.0135	0.0104	0.77
RBH_pair_7383.fa	TRINITY_D129176_c1_g2_i1	0.1252	0.0965	0.7713
RBH_pair_6364.fa	TRINITY_D116035_c0_g1_i2	0.1613	0.1245	0.7718
RBH_pair_2975.fa	TRINITY_D136105_c5_g1_i2	0.0896	0.0695	0.7749
RBH_pair_5624.fa	TRINITY_D134243_c5_g1_i4	0.0544	0.0422	0.7754
RBH_pair_9308.fa	TRINITY_D128675_c3_g3_i5	0.0128	0.0099	0.7767
RBH_pair_10213.fa	TRINITY_D119860_c3_g2_i3	0.001	0.0008	0.7774
RBH_pair_1385.fa	TRINITY_D133202_c5_g3_i2	0.001	0.0008	0.7794
RBH_pair_4739.fa	TRINITY_D118300_c2_g1_i1	0.0283	0.0221	0.7825
RBH_pair_5141.fa	TRINITY_D141230_c1_g2_i4	0.0158	0.0124	0.7832
RBH_pair_8495.fa	TRINITY_D129222_c2_g1_i15	0.0086	0.0068	0.7843
RBH_pair_1698.fa	TRINITY_D112926_c0_g1_i1	0.1554	0.1219	0.7844
RBH_pair_4455.fa	TRINITY_D119221_c8_g1_i1	0.0795	0.0625	0.7861
RBH_pair_2949.fa	TRINITY_D120118_c2_g2_i6	0.0265	0.0209	0.7886
RBH_pair_10036.fa	TRINITY_D116069_c1_g1_i4	0.0398	0.0314	0.7887
RBH_pair_10538.fa	TRINITY_D141800_c8_g1_i3	0.0566	0.0447	0.7892
RBH_pair_4370.fa	TRINITY_D142759_c3_g2_i1	0.1414	0.1118	0.7903
RBH_pair_7217.fa	TRINITY_D119720_c7_g2_i1	0.131	0.1042	0.7953
RBH_pair_8475.fa	TRINITY_D119106_c0_g1_i2	0.0069	0.0055	0.7967
RBH_pair_5411.fa	TRINITY_D124161_c0_g1_i2	0.0319	0.0254	0.797
RBH_pair_1502.fa	TRINITY_D117864_c5_g1_i10	0.2021	0.1611	0.797
RBH_pair_9476.fa	TRINITY_D142524_c0_g1_i5	0.0185	0.0148	0.7972
RBH_pair_6711.fa	TRINITY_D123127_c5_g4_i1	0.0235	0.0188	0.7983
RBH_pair_1874.fa	TRINITY_D138769_c1_g2_i11	0.0031	0.0024	0.7996
RBH_pair_9121.fa	TRINITY_D125001_c2_g2_i4	0.0233	0.0187	0.8017
RBH_pair_9102.fa	TRINITY_D139956_c9_g2_i7	0.0943	0.076	0.8058
RBH_pair_1275.fa	TRINITY_D117082_c0_g1_i1	0.001	0.0008	0.8085
RBH_pair_3923.fa	TRINITY_D115809_c2_g2_i4	0.0912	0.0739	0.8101
RBH_pair_3087.fa	TRINITY_D126901_c0_g1_i3	0.1242	0.1007	0.8107
RBH_pair_7347.fa	TRINITY_D120337_c3_g2_i4	0.0686	0.0556	0.8109
RBH_pair_6381.fa	TRINITY_D121699_c2_g1_i11	0.028	0.0228	0.8125
RBH_pair_544.fa	TRINITY_D116856_c2_g1_i1	0.0454	0.037	0.8139
RBH_pair_10672.fa	TRINITY_D120339_c4_g1_i6	0.0714	0.0581	0.8141
RBH_pair_3043.fa	TRINITY_D129360_c1_g3_i11	0.0881	0.0718	0.815
RBH_pair_2567.fa	TRINITY_D112886_c0_g1_i1	0.0056	0.0046	0.8152
RBH_pair_3518.fa	TRINITY_D124924_c3_g3_i1	0.0764	0.0624	0.8161
RBH_pair_9190.fa	TRINITY_D139472_c1_g2_i1	0.0375	0.0306	0.817
RBH_pair_3598.fa	TRINITY_D125758_c3_g3_i3	0.0035	0.0029	0.8186
RBH_pair_8587.fa	TRINITY_D114741_c6_g1_i1	0.0894	0.0734	0.8204
RBH_pair_9200.fa	TRINITY_D119071_c2_g1_i10	0.072	0.0592	0.8217
RBH_pair_425.fa	TRINITY_D134338_c1_g2_i2	0.0982	0.0808	0.8221
RBH_pair_9684.fa	TRINITY_D132024_c6_g1_i5	0.0569	0.0468	0.8228
RBH_pair_3777.fa	TRINITY_D120678_c5_g2_i2	0.0296	0.0244	0.8229
RBH_pair_2256.fa	TRINITY_D123263_c1_g1_i4	0.1186	0.0977	0.8242
RBH_pair_3102.fa	TRINITY_D143937_c1_g1_i1	0.0779	0.0642	0.8246
RBH_pair_9849.fa	TRINITY_D134691_c2_g3_i1	0.1009	0.0835	0.8277
RBH_pair_8871.fa	TRINITY_D118164_c8_g2_i1	0.0209	0.0173	0.8295
RBH_pair_1467.fa	TRINITY_D120764_c6_g1_i4	0.0944	0.0783	0.8297
RBH_pair_8786.fa	TRINITY_D134144_c0_g2_i1	0.0425	0.0353	0.8301
RBH_pair_10656.fa	TRINITY_D139784_c4_g2_i4	0.0417	0.0347	0.8312
RBH_pair_5571.fa	TRINITY_D131047_c1_g4_i1	0.0171	0.0143	0.834
RBH_pair_9414.fa	TRINITY_D130824_c2_g1_i1	0.0423	0.0353	0.8343
RBH_pair_7806.fa	TRINITY_D117492_c1_g1_i3	0.0355	0.0297	0.8352
RBH_pair_10648.fa	TRINITY_D115074_c3_g1_i2	0.1502	0.1255	0.8352
RBH_pair_10230.fa	TRINITY_D124590_c6_g2_i1	0.085	0.071	0.8353
RBH_pair_3257.fa	TRINITY_D117731_c8_g4_i2	0.0526	0.0439	0.836
RBH_pair_4513.fa	TRINITY_D139675_c0_g1_i1	0.0135	0.0113	0.8374
RBH_pair_9442.fa	TRINITY_D116211_c0_g1_i2	0.1114	0.0933	0.8376
RBH_pair_6168.fa	TRINITY_D126277_c0_g2_i1	0.0827	0.0693	0.8381
RBH_pair_6265.fa	TRINITY_D140380_c1_g1_i1	0.0131	0.011	0.8388
RBH_pair_7856.fa	TRINITY_D142208_c1_g2_i1	0.0438	0.0367	0.8391
RBH_pair_2605.fa	TRINITY_D136802_c1_g1_i3	0.0517	0.0434	0.8398
RBH_pair_5441.fa	TRINITY_D114341_c0_g3_i1	0.1323	0.1111	0.8402
RBH_pair_4369.fa	TRINITY_D117101_c2_g1_i5	0.0648	0.0546	0.8428
RBH_pair_7074.fa	TRINITY_D115534_c2_g3_i6	0.0382	0.0322	0.843
RBH_pair_6642.fa	TRINITY_D136729_c7_g2_i14	0.0079	0.0066	0.8434
RBH_pair_10699.fa	TRINITY_D114709_c0_g1_i10	0.0285	0.024	0.8443
RBH_pair_4858.fa	TRINITY_D131774_c2_g1_i3	0.1024	0.0865	0.8449
RBH_pair_286.fa	TRINITY_D134366_c9_g1_i2	0.1203	0.1016	0.8449
RBH_pair_8031.fa	TRINITY_D116752_c2_g3_i2	0.0184	0.0156	0.8482
RBH_pair_6517.fa	TRINITY_D125582_c1_g1_i1	0.0948	0.0808	0.8522
