chr	logFC.XY46.XX46	sexb
Chr02	14.52645134	Famale
Chr07	14.3091768	Famale
Chr09	14.27160897	Famale
Chr02	14.12021365	Famale
Chr08	13.81105384	Famale
Chr08	13.66131557	Famale
Chr10	13.65820836	Famale
Chr01	13.56344166	Famale
Chr06	13.52204226	Famale
Chr01	13.51945456	Famale
Chr02	13.3622534	Famale
Chr03	13.18543616	Famale
Chr04	13.07183724	Famale
Chr01	12.94575839	Famale
Chr03	12.78081239	Famale
Chr07	12.62656648	Famale
Chr04	12.50748516	Famale
Chr05	12.43270027	Famale
Chr04	12.33149602	Famale
Chr01	12.30755471	Famale
Chr08	12.24449754	Famale
Chr01	11.85207722	Famale
Chr08	11.52229743	Famale
Chr02	11.42346399	Famale
Chr02	11.33181542	Famale
Chr06	11.23642733	Famale
Chr05	11.22608782	Famale
Chr06	11.1612707	Famale
Chr01	11.03280596	Famale
Chr02	11.01798083	Famale
Chr09	10.98229776	Famale
Chr02	10.88185469	Famale
Chr06	10.77919372	Famale
Chr10	10.68019288	Famale
Chr02	10.68014448	Famale
Chr06	10.66523469	Famale
Chr08	10.66418663	Famale
Chr06	10.55361807	Famale
Chr01	10.52494176	Famale
Chr02	10.46553103	Famale
Chr05	10.45165797	Famale
Chr04	10.40626193	Famale
Chr06	10.28539763	Famale
Chr10	10.28509907	Famale
Chr09	10.27372726	Famale
Chr08	10.23290899	Famale
Chr03	10.01577202	Famale
Chr01	9.766216831	Famale
Chr03	9.755414496	Famale
Chr08	9.733191792	Famale
Chr02	9.715282591	Famale
Chr02	9.53362132	Famale
Chr06	9.499868939	Famale
Chr05	9.465155307	Famale
Chr05	9.407570368	Famale
Chr03	9.197160733	Famale
Chr03	9.135316583	Famale
Chr08	9.127357146	Famale
Chr01	9.070609333	Famale
Chr06	9.035303082	Famale
Chr01	9.016029727	Famale
Chr01	8.922796296	Famale
Chr04	8.920424076	Famale
Chr09	8.869091713	Famale
Chr04	8.789565864	Famale
Chr07	8.645241303	Famale
Chr03	8.607451315	Famale
Chr08	8.603729433	Famale
Chr08	8.550076282	Famale
Chr07	8.534781202	Famale
Chr03	8.477283852	Famale
Chr08	8.322186987	Famale
Chr06	8.221505118	Famale
Chr01	8.189419843	Famale
Chr07	8.154626513	Famale
Chr04	8.11966763	Famale
Chr03	7.992063258	Famale
Chr02	7.969791987	Famale
Chr04	7.937877633	Famale
Chr01	7.916069826	Famale
Chr10	7.897865234	Famale
Chr05	7.716304339	Famale
Chr03	7.693532376	Famale
Chr10	7.635977936	Famale
Chr03	7.609984985	Famale
Chr03	7.608687743	Famale
Chr06	7.577482423	Famale
Chr04	7.490447412	Famale
Chr10	7.469595223	Famale
Chr01	7.464490437	Famale
Chr09	7.399795547	Famale
Chr03	7.32664675	Famale
Chr08	7.326282107	Famale
Chr01	7.260226519	Famale
Chr05	7.222940486	Famale
Chr01	7.186237068	Famale
Chr04	7.170553137	Famale
Chr09	7.155949069	Famale
Chr08	7.100250241	Famale
Chr08	7.099426753	Famale
Chr02	7.066106029	Famale
Chr04	6.954016097	Famale
Chr02	6.941094266	Famale
Chr05	6.907957667	Famale
Chr06	6.819952593	Famale
Chr08	6.813749315	Famale
Chr01	6.728201231	Famale
Chr01	6.707037106	Famale
Chr01	6.697651152	Famale
Chr10	6.693784488	Famale
Chr03	6.692737956	Famale
Chr05	6.678954796	Famale
Chr03	6.664758377	Famale
Chr03	6.536524628	Famale
Chr05	6.530967287	Famale
Chr07	6.521291958	Famale
Chr07	6.48821457	Famale
Chr02	6.487543074	Famale
Chr01	6.47736124	Famale
Chr01	6.388707532	Famale
Chr03	6.379074861	Famale
Chr05	6.339667368	Famale
Chr08	6.330356894	Famale
Chr04	6.235246113	Famale
Chr02	6.197194092	Famale
Chr08	6.11593631	Famale
Chr01	6.099624444	Famale
Chr07	6.043233215	Famale
Chr06	6.029003184	Famale
Chr02	6.016257511	Famale
Chr08	6.00284076	Famale
Chr08	5.992140429	Famale
Chr08	5.989087878	Famale
Chr08	5.961979372	Famale
Chr02	5.95014615	Famale
Chr02	5.94733904	Famale
Chr10	5.891977691	Famale
Chr01	5.891655276	Famale
Chr03	5.889176839	Famale
Chr08	5.886063633	Famale
Chr03	5.882108717	Famale
Chr07	5.846594404	Famale
Chr09	5.827291703	Famale
Chr04	5.816899642	Famale
Chr04	5.796618823	Famale
Chr06	5.791396252	Famale
Chr08	5.790320918	Famale
Chr05	5.780991009	Famale
Chr09	5.769577765	Famale
Chr03	5.766240375	Famale
Chr01	5.76555963	Famale
Chr08	5.691483129	Famale
Chr02	5.636225437	Famale
Chr07	5.615253917	Famale
Chr03	5.602006956	Famale
Chr09	5.563653406	Famale
Chr04	5.554684704	Famale
Chr06	5.548643979	Famale
Chr07	5.537606961	Famale
Chr03	5.509522408	Famale
Chr06	5.489690022	Famale
Chr02	5.459804093	Famale
Chr01	5.454871432	Famale
Chr02	5.435511662	Famale
Chr08	5.390024319	Famale
Chr03	5.382074612	Famale
Chr02	5.380061326	Famale
Chr08	5.376147182	Famale
Chr03	5.328888157	Famale
Chr01	5.325707552	Famale
Chr03	5.322749953	Famale
Chr06	5.281719492	Famale
Chr10	5.277105146	Famale
Chr05	5.252611831	Famale
Chr03	5.226406581	Famale
Chr08	5.225461711	Famale
Chr03	5.209048117	Famale
Chr04	5.172238112	Famale
Chr04	5.16747351	Famale
Chr07	5.155551693	Famale
Chr02	5.147337976	Famale
Chr02	5.144300851	Famale
Chr07	5.13269374	Famale
Chr10	5.103901832	Famale
Chr02	5.102117098	Famale
Chr03	5.08372084	Famale
Chr02	5.082480611	Famale
Chr03	5.082104312	Famale
Chr04	5.080770249	Famale
Chr08	5.080304209	Famale
Chr04	5.077423472	Famale
Chr01	5.054247392	Famale
Chr02	5.037560875	Famale
Chr02	5.014889052	Famale
Chr09	5.006059357	Famale
Chr08	5.005624729	Famale
Chr08	5.000611641	Famale
Chr08	4.980606998	Famale
Chr01	4.979485348	Famale
Chr04	4.952977354	Famale
Chr10	4.941641752	Famale
Chr03	4.911272043	Famale
Chr09	4.907088073	Famale
Chr07	4.900858775	Famale
Chr05	4.884462715	Famale
Chr02	4.862947453	Famale
Chr03	4.860638783	Famale
Chr05	4.844998041	Famale
Chr02	4.8315711	Famale
Chr04	4.820831994	Famale
Chr09	4.803858026	Famale
Chr08	4.800391224	Famale
Chr04	4.779621422	Famale
Chr03	4.777732674	Famale
Chr08	4.769652993	Famale
Chr02	4.765075918	Famale
Chr03	4.762215132	Famale
Chr03	4.748929867	Famale
Chr01	4.739141908	Famale
Chr02	4.733690442	Famale
Chr05	4.731966754	Famale
Chr06	4.718794004	Famale
Chr06	4.706503035	Famale
Chr09	4.69956193	Famale
Chr05	4.694169623	Famale
Chr06	4.687354762	Famale
Chr01	4.687112038	Famale
Chr02	4.685051755	Famale
Chr02	4.676496256	Famale
Chr03	4.670957112	Famale
Chr01	4.669805934	Famale
Chr08	4.660595799	Famale
Chr07	4.652655353	Famale
Chr04	4.651025366	Famale
Chr08	4.647763477	Famale
Chr08	4.642530221	Famale
