gid	dnds	dn	ds	chr	bias
TRINITY_DN114502_c4_g3_i3	0.0015	0.0027	1.8174	Chr01	female
TRINITY_DN114514_c0_g1_i1	0.0022	0.0029	1.3393	Chr01	female
TRINITY_DN129325_c1_g3_i1	0.0031	0.0042	1.3667	Chr01	female
TRINITY_DN117512_c4_g1_i2	0.0039	0.0026	0.6816	Chr01	female
TRINITY_DN115032_c0_g1_i3	0.0045	0.0084	1.8661	Chr01	female
TRINITY_DN112701_c0_g1_i1	0.0045	0.009	1.9837	Chr01	female
TRINITY_DN126229_c4_g1_i6	0.0049	0.0103	2.094	Chr01	female
TRINITY_DN131124_c14_g1_i1	0.0053	0.0093	1.743	Chr01	female
TRINITY_DN135750_c0_g1_i2	0.0066	0.0127	1.9274	Chr01	female
TRINITY_DN130024_c3_g2_i2	0.0083	0.0076	0.9163	Chr01	female
TRINITY_DN137711_c2_g1_i2	0.0085	0.0123	1.4467	Chr01	female
TRINITY_DN125935_c6_g1_i3	0.0088	0.0174	1.9896	Chr01	female
TRINITY_DN127828_c0_g1_i2	0.0089	0.0178	1.9895	Chr01	female
TRINITY_DN118168_c7_g1_i2	0.0093	0.0189	2.0337	Chr01	female
TRINITY_DN124267_c4_g1_i6	0.0098	0.0104	1.0555	Chr01	female
TRINITY_DN120846_c5_g1_i11	0.0114	0.0232	2.0377	Chr01	female
TRINITY_DN133733_c1_g1_i2	0.0122	0.0146	1.1967	Chr01	female
TRINITY_DN129186_c2_g1_i1	0.0122	0.0249	2.0453	Chr01	female
TRINITY_DN119688_c1_g1_i2	0.0125	0.0205	1.6417	Chr01	female
TRINITY_DN135215_c10_g1_i3	0.0129	0.0204	1.5794	Chr01	female
TRINITY_DN116240_c2_g1_i7	0.0135	0.0104	0.77	Chr01	female
TRINITY_DN136056_c3_g1_i3	0.0147	0.0092	0.6249	Chr01	female
TRINITY_DN115493_c0_g1_i1	0.015	0.0292	1.9485	Chr01	female
TRINITY_DN128870_c4_g4_i2	0.0151	0.022	1.4587	Chr01	female
TRINITY_DN125452_c3_g1_i6	0.0154	0.0257	1.6674	Chr01	female
TRINITY_DN113301_c0_g1_i1	0.0154	0.0322	2.0932	Chr01	female
TRINITY_DN112573_c0_g1_i4	0.0163	0.0285	1.7452	Chr01	female
TRINITY_DN136409_c8_g3_i1	0.0166	0.0309	1.8571	Chr01	female
TRINITY_DN135949_c2_g2_i2	0.0168	0.021	1.2511	Chr01	female
TRINITY_DN135534_c1_g1_i3	0.017	0.0293	1.7258	Chr01	female
TRINITY_DN115918_c5_g1_i2	0.0171	0.0295	1.73	Chr01	female
TRINITY_DN125658_c2_g3_i5	0.0179	0.0304	1.7042	Chr01	female
TRINITY_DN138729_c4_g1_i2	0.018	0.0369	2.0473	Chr01	female
TRINITY_DN126818_c5_g2_i1	0.0185	0.0251	1.355	Chr01	female
TRINITY_DN113516_c0_g1_i1	0.0196	0.0392	2.0016	Chr01	female
TRINITY_DN126710_c0_g1_i4	0.0198	0.0398	2.0129	Chr01	female
TRINITY_DN138937_c3_g1_i2	0.0198	0.04	2.0235	Chr01	female
TRINITY_DN126924_c4_g3_i2	0.0204	0.0333	1.6304	Chr01	female
TRINITY_DN124367_c0_g1_i15	0.0208	0.0384	1.8482	Chr01	female
TRINITY_DN116549_c3_g1_i4	0.0209	0.0326	1.5622	Chr01	female
TRINITY_DN117514_c0_g1_i1	0.0212	0.0293	1.3811	Chr01	female
TRINITY_DN134298_c2_g1_i2	0.0219	0.042	1.9176	Chr01	female
TRINITY_DN134324_c3_g1_i2	0.0221	0.0388	1.7544	Chr01	female
TRINITY_DN127909_c5_g2_i2	0.0225	0.0274	1.2207	Chr01	female
TRINITY_DN119469_c5_g1_i2	0.0233	0.0317	1.3592	Chr01	female
TRINITY_DN140082_c1_g1_i4	0.0233	0.0372	1.5975	Chr01	female
TRINITY_DN122377_c1_g1_i6	0.0234	0.0273	1.1671	Chr01	female
TRINITY_DN138234_c3_g1_i1	0.0235	0.0402	1.7122	Chr01	female
